"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_1881",60.3051179851251,1.07070628192871,0.301506645309089,3.55118634559805,0.000383498788355654,0.000753486779289563,1.07070628192871,2.10046141185766
"MAP_3368c",408.751593046872,0.686276641989277,0.193722427639319,3.54257713137386,0.000396237527882461,0.000777111472627911,0.686276641989277,1.60912526788933
"MAP_1450c",75.7385843614725,-1.02223400578262,0.288921791918647,-3.53809935551851,0.000403018378714408,0.000790054054712787,1.02223400578262,-2.03106161412737
"MAP_0594c",210.205301887159,0.788906446566011,0.223382006714954,3.53164723590603,0.000412979881639344,0.000808488967205737,0.788906446566011,1.72776433204534
"MAP_1080",109.105928869756,0.637923784815342,0.180656979374732,3.53113279665833,0.000413783949602836,0.000809698686807169,0.637923784815342,1.55608814538523
"MAP_3107c",124.703034436193,0.619049651018549,0.175424609156371,3.52886435942826,0.000417346984043084,0.000815936800264007,0.619049651018549,1.53586312623394
"MAP_2522",61.7220708423362,-0.871831256655594,0.247165530821479,-3.52731731547671,0.000419793337598789,0.000819614460751675,0.871831256655594,-1.82998428150491
"MAP_3903c",30.3187832426856,1.02269015640147,0.29051635963803,3.52024979824095,0.000431140544882215,0.000841391372919531,1.02269015640147,2.031703895737
"MAP_0806c",96.0019094852425,0.819781512261999,0.233429165341673,3.51190696784643,0.000444903709822598,0.000866307581794227,0.819781512261999,1.76513865239851
"MAP_4331c",93.8047261255904,-0.75952908503977,0.216271935745702,-3.51191698738409,0.000444886937366719,0.000866307581794227,0.75952908503977,-1.69293793693863
"MAP_2051c",103.155401757767,0.646010917033547,0.184131518207912,3.50842117265391,0.000450774797740875,0.000877346921777541,0.646010917033547,1.56483540471146
"MAP_0676",40.7614138903695,-1.07573612292485,0.306689580136782,-3.50757310517391,0.000452214083846906,0.000879754590668176,1.07573612292485,-2.10779728328816
"MAP_3221",36.8379258009921,1.28499145907007,0.366397995710481,3.50709194404394,0.000453032585584588,0.000880952949169852,1.28499145907007,2.43680610111949
"MAP_2798c",77.681654884903,0.910157733881675,0.259564843314074,3.50647538495951,0.000454083433259581,0.000882207652826787,0.910157733881675,1.87925095095612
"MAP_1567",30.9006258837341,-1.39606290857864,0.398316598055638,-3.50490769250754,0.000456765622287112,0.000886626709928129,1.39606290857864,-2.63182380798027
"MAP_4217",64.6097363570509,1.14616080936439,0.327708138809257,3.49750486371508,0.000469632149241374,0.000910789054480595,1.14616080936439,2.21324139040832
"MAP_3870",106.058044670111,0.623652411950581,0.178697429631432,3.48999094859326,0.000483036907308699,0.000935118178367975,0.623652411950581,1.54077095454701
"MAP_0926",188.426295589798,-0.609429566517864,0.174864183236799,-3.48515948341795,0.000491843795029272,0.000951743998388493,0.609429566517864,-1.52565585396712
"MAP_2132c",153.160685427751,0.621402766518372,0.17843346979487,3.48254600010158,0.000496669882386058,0.000960655397234038,0.621402766518372,1.53837024811156
"MAP_0442",50.5232027799359,1.72340173616205,0.495049172129263,3.48127384750388,0.000499034997612193,0.000964800995383573,1.72340173616205,3.30214102778251
"MAP_0008c",68.3557184193936,0.788375663268726,0.226787499232125,3.47627477677592,0.000508431073748277,0.0009820937703397,0.788375663268726,1.72712878555489
